Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
User-Based KNN,30,5,3,706,threshold,1,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",497.5776511,0.704784208,0.813563499,0.919312519,0.131221638,0.556585499,0.014929367,0.015580737,0.210151086,0.205288008,0.096639125,"{0.5: 0.00025846012416041336, 1.0: 0.0005758033065001451, 1.5: 0.0003752260224341585, 2.0: 0.0015258989048574647, 2.5: 0.001649131633385089, 3.0: 0.009594458724010976, 3.5: 0.008366083950458075, 4.0: 0.026174779448663883, 4.5: 0.012199148319466288, 5.0: 0.021938545839358815}"
Item-Based CF,30,5,3,706,threshold,1.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",77.2657196,0.109441529,0.757182996,0.924854142,0.297779307,0.443864629,0.080497104,0.036827195,0.192492918,0.192398489,0.090879761,"{0.5: 0.0002485077238288446, 1.0: 0.0008305404918947037, 1.5: 0.0005651906317143042, 2.0: 0.0026302442594590704, 2.5: 0.002399054290902282, 3.0: 0.012542999232174834, 3.5: 0.009974753935763867, 4.0: 0.028190835489605676, 4.5: 0.012717469803648304, 5.0: 0.016868314355659404}"
User-Based CF,30,5,3,706,threshold,1.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",967.9002668,1.370963551,0.57165866,0.649560116,0.216612168,0.546194977,0.010760093,0.011331445,0.115627951,0.115627951,0.054975606,"{0.5: 6.453412021779458e-05, 1.0: 0.00021363863016054236, 1.5: 0.00021601119690002903, 2.0: 0.0006865553249920524, 2.5: 0.0009227099477190275, 3.0: 0.0039214583371654215, 3.5: 0.00455416110353172, 4.0: 0.012366356325000081, 4.5: 0.007524871764889821, 5.0: 0.01016450952321444}"
Item-Based KNN,30,5,3,706,threshold,1.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",4497.851855,6.370894979,0.740068157,0.861916244,0.131527317,0.277335569,0.004886263,0.036827195,0.105476865,0.105476865,0.043482845,"{0.5: 0.0003369571018149142, 1.0: 0.00037116698953850705, 1.5: 0.0002854547480061257, 2.0: 0.0008101790534942503, 2.5: 0.0011863373997349417, 3.0: 0.006093508534268692, 3.5: 0.006289781389830591, 4.0: 0.015639053292404333, 4.5: 0.007408132513857183, 5.0: 0.009778187908130755}"
User-Based KNN,30,5,3,706,threshold,1.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",496.9221569,0.703855746,0.810424255,0.915207874,0.131042898,0.556536965,0.014977027,0.015580737,0.208829084,0.20368272,0.096305477,"{0.5: 0.00025846012416041336, 1.0: 0.000568860019270239, 1.5: 0.00031524554131262723, 2.0: 0.0014727158482778246, 2.5: 0.0016070308719573565, 3.0: 0.009604611479970927, 3.5: 0.00832157312452521, 4.0: 0.02626435088727026, 4.5: 0.012128576022355899, 5.0: 0.021850588058485405}"
Item-Based CF,30,5,3,706,threshold,2,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",75.2334381,0.106562943,0.781640083,0.962878644,0.300045955,0.440566447,0.078674557,0.04674221,0.195089707,0.194995279,0.09330107,"{0.5: 0.0004586012124617101, 1.0: 0.0009620827628958276, 1.5: 0.0003365508592227297, 2.0: 0.0032066756404487322, 2.5: 0.002379003186115217, 3.0: 0.013380369542438689, 3.5: 0.010216009404703253, 4.0: 0.025864409007638943, 4.5: 0.011569013837075884, 5.0: 0.019658837266598176}"
User-Based CF,30,5,3,706,threshold,2,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",969.0334125,1.372568573,0.72557482,0.844570085,0.220256172,0.52282164,0.008418524,0.005665722,0.172757318,0.172710104,0.079839471,"{0.5: 0.0004929400969341888, 1.0: 0.0008163814549793939, 1.5: 0.00027897758067577604, 2.0: 0.0014653845840525142, 2.5: 0.0013432819250551434, 3.0: 0.006306861875495293, 3.5: 0.008208665529120937, 4.0: 0.020604375700780275, 4.5: 0.010834672598052406, 5.0: 0.017349032758881177}"
Item-Based KNN,30,5,3,706,threshold,2,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",3980.69058,5.638371927,0.748541489,0.927313596,0.135504699,0.261364618,0.004391924,0.039660057,0.165864023,0.165864023,0.087032578,"{0.5: 0.0006078388780330607, 1.0: 0.0006564574279231077, 1.5: 0.0004349648629838299, 2.0: 0.002216036693697057, 2.5: 0.0013699344432136283, 3.0: 0.0087245287652193, 3.5: 0.009736095452612118, 4.0: 0.022524797948432648, 4.5: 0.010730337901233294, 5.0: 0.01974171748068384}"
User-Based KNN,30,5,3,706,threshold,2,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",485.5294434,0.687718758,0.911676947,1.029776668,0.133835151,0.528689354,0.012031011,0.016997167,0.275684608,0.260623229,0.134062008,"{0.5: 0.0005756211530754124, 1.0: 0.0010119811862440498, 1.5: 0.0003564888405859969, 2.0: 0.002123418256647437, 2.5: 0.002214806280846055, 3.0: 0.01154799900506457, 3.5: 0.01334155825487173, 4.0: 0.03386778466105159, 4.5: 0.01718674012878869, 5.0: 0.032134923885377246}"
Item-Based CF,30,5,3,706,threshold,2.5,"{'neighbours': 100, 'sample': 100, 'pred': 'calc'}",76.2205634,0.107961138,0.782049693,0.963569995,0.299804037,0.440865443,0.078718726,0.04674221,0.195136922,0.195136922,0.093350645,"{0.5: 0.0004586012124617101, 1.0: 0.0009620827628958276, 1.5: 0.0003562235063741305, 2.0: 0.0032066756404487322, 2.5: 0.0023644096587738146, 3.0: 0.013364172508763436, 3.5: 0.010216009404703253, 4.0: 0.02586782072324288, 4.5: 0.011569013837075884, 5.0: 0.019658837266598176}"
