Traffic Day,Traffic New or Returning Visitor,Traffic Referring Category Ø,Traffic Referring Site Ø,Traffic Referring URL,Traffic UTM Campaign Name Ø,Traffic UTM Campaign Medium Ø,Traffic UTM Campaign Source Ø,Traffic Page Path Ø,Traffic Page URL,Traffic Country,Traffic Region,Traffic City,Traffic Device Type,Traffic Browser,Traffic Browser Version,Traffic Operating System,Traffic Is the First Page Viewed Ø (Yes / No),Traffic Is the Last Page Viewed Ø (Yes / No),Traffic Next Page Viewed Ø,Traffic Previous Page Viewed Ø,Traffic Page Views,Traffic Site Sessions Ø,Traffic Unique Visitors,Traffic Site Bounce Rate Ø,Traffic Avg. Session Duration Ø,Traffic Avg. Time on Page Ø,Traffic Avg. Pages per Session Ø
01/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/news,http://jorjmakesmusic.com/news,United Kingdom,LEW,N/A,Desktop,Chrome,81.0.4044.129,Windows,No,No,/about,/video,1,1,1,0,0.017731481,4.65E-05,2
16/06/2020,New Visitor,Social,facebook.com,https://l.facebook.com/,_,_,_,/,http://jorjmakesmusic.com/?fbclid=iwar0mfa2cyv-ct2heeqdjzl4wtf6mtkflxmuomsgkmzxqdj6ijzmf0h7uzai,United Kingdom,WSX,Lancing,Desktop,Chrome,83.0.4103.97,Windows,Yes,No,/news,N/A,1,1,1,0,0.000914352,0.000204333,1
06/05/2020,New Visitor,Social,facebook.com,https://www.facebook.com/,_,_,_,/,http://jorjmakesmusic.com/?fbclid=iwar1lemp05mb-6tph5_se30wfozqwqahi_thnroyhmx9lxyvjym7et71_gzc,United Kingdom,HAV,Romford,Desktop,Chrome,81.0.4044.129,Windows,Yes,No,/video,N/A,1,1,1,0,0.000462963,8.10E-05,2
01/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,LEW,N/A,Desktop,Chrome,81.0.4044.129,Windows,No,No,/about,/contact,1,1,1,0,0.017731481,0.002251,2
20/05/2020,Returning Visitor,Social,facebook.com,https://l.facebook.com,_,_,_,/maturity,http://jorjmakesmusic.com/maturity?fbclid=iwar0lmtui5pyjwkdg3wh4svurnwbqwh_hg8qqgoffb9tphn__duns-ppk-0e,United Kingdom,MRT,Wimbledon,Desktop,Safari,13.1,Mac OS,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
11/06/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,LEW,New Cross,Desktop,Chrome,83.0.4103.97,Windows,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
06/06/2020,New Visitor,Social,facebook.com,https://l.facebook.com/,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,ISL,Islington,Mobile,Chrome,273.0.0.39.123,Android,Yes,No,/news,N/A,1,1,1,0,0.000196759,3.10E-05,1
01/05/2020,New Visitor,Direct,Direct,N/A,_,_,_,/maturity,http://jorjmakesmusic.com/maturity,United Kingdom,BNH,Brighton,Desktop,Chrome,81.0.4044.122,Windows,No,No,/video,/,1,1,1,0,0.001423611,0.000602,2
05/05/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,N/A,N/A,Mobile,Safari,139.1.0.39.120,Mac OS,Yes,No,/about,N/A,1,1,1,0,0.000115741,3.87E-05,2
27/08/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,United States,CA,N/A,Desktop,Chrome,76.0.3809.71,Windows,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
19/11/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,United States,MN,Faribault,Desktop,Chrome,79.0.3945.79,Windows,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
22/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/exclusive,http://jorjmakesmusic.com/exclusive,United Kingdom,GRE,Greenwich,Desktop,Chrome,81.0.4044.138,Windows,No,No,/maturity,/early-access,1,1,1,0,0.021354167,9.30E-05,1
07/10/2020,New Visitor,Organic Search,google.com,https://google.com/,_,_,_,/about,https://jorjmakesmusic.com/about,Germany,BE,Berlin,Desktop,Chrome,83.0.4103.116,Linux,No,Yes,N/A,/news,1,1,1,0,0.000497685,0,1
