Algorithm,Top-N,MoviesPerPage,ThresholdRating,TotalIDs,ParameterTest,ParameterValue,OtherParameters,TotalTime/s,MeanTime/s,MAE,RMSE,Coverage,Diversity,Novelty,LOOCV_HR,Validation_HR,Cumulative_HR,MeanReciprocal_HR,ActualRating_HR
Item-Based KNN,30,5,3,706,sample,30,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",1292.217601,1.830336545,0.794047488,0.85522849,0.059946041,0.188472053,0.004713679,,0.05727101,0.05727101,0.024712779,"{0.5: 9.356528634783253e-05, 1.0: 3.901044073426691e-05, 1.5: 7.417513896930448e-05, 2.0: 0.0005306071387278455, 2.5: 0.0005716841614890501, 3.0: 0.0031943519597787463, 3.5: 0.0026832244212623784, 4.0: 0.008910509334137099, 4.5: 0.003783822366407671, 5.0: 0.006319264309495677}"
Item-Based KNN,30,5,3,706,sample,40,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",1725.794617,2.444468296,0.785049745,0.865631113,0.0720862,0.203783487,0.004320041,,0.062889518,0.062889518,0.027290683,"{0.5: 0.00010592606265737102, 1.0: 6.908490050903979e-05, 1.5: 9.331609295445112e-05, 2.0: 0.0005202725148083173, 2.5: 0.0007384578357802678, 3.0: 0.0036092116341480715, 3.5: 0.002793995207757728, 4.0: 0.009701818513108184, 4.5: 0.003893374882956815, 5.0: 0.007439912257025331}"
Item-Based KNN,30,5,3,706,sample,50,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",2189.34857,3.101060298,0.781062143,0.869564801,0.083121948,0.217887983,0.004341468,,0.068696884,0.068696884,0.02956248,"{0.5: 0.000134254674555388, 1.0: 8.475755813405585e-05, 1.5: 9.331609295445112e-05, 2.0: 0.0005793227371860388, 2.5: 0.0008807470836933956, 3.0: 0.003656446753542028, 3.5: 0.0032895705365261567, 4.0: 0.010661585375175704, 4.5: 0.004461146337739128, 5.0: 0.00794786605173907}"
Item-Based KNN,30,5,3,706,sample,60,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",2627.96606,3.72233153,0.762353268,0.856215417,0.09341724,0.231222094,0.004238046,,0.074362606,0.074362606,0.031989298,"{0.5: 9.09198224386662e-05, 1.0: 8.475755813405585e-05, 1.5: 0.00013511146052885552, 2.0: 0.0006713594166018331, 2.5: 0.0010471586508602909, 3.0: 0.004076551636707687, 3.5: 0.003706640278481704, 4.0: 0.011635643409829003, 4.5: 0.004770565429418627, 5.0: 0.00843332915226232}"
Item-Based KNN,30,5,3,706,sample,70,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",3131.889075,4.436103505,0.747280907,0.845707346,0.103163766,0.241866008,0.004345838,,0.078895184,0.078895184,0.034181618,"{0.5: 9.09198224386662e-05, 1.0: 9.524963661480289e-05, 1.5: 0.00015386984225511139, 2.0: 0.0006972331015338513, 2.5: 0.0010229612723596081, 3.0: 0.004439180487123286, 3.5: 0.004069765964620442, 4.0: 0.011883372284881477, 4.5: 0.005284802762225434, 5.0: 0.008803103728257851}"
Item-Based KNN,30,5,3,706,sample,80,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",3671.508775,5.200437358,0.748948357,0.855900319,0.112590854,0.252917446,0.004754144,,0.085835694,0.085835694,0.036852376,"{0.5: 0.00015086330934728989, 1.0: 9.524963661480289e-05, 1.5: 0.0001833788129822124, 2.0: 0.0007432195277219326, 2.5: 0.0011616350057954746, 3.0: 0.004855249165794271, 3.5: 0.004567963470186402, 4.0: 0.01291003548605805, 4.5: 0.005644362473063358, 5.0: 0.009396188716208455}"
Item-Based KNN,30,5,3,706,sample,90,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",3989.702817,5.651137134,0.733087851,0.844439473,0.12146351,0.264052794,0.004927501,,0.092209632,0.092209632,0.039198143,"{0.5: 0.00015086330934728989, 1.0: 0.00010320711186705486, 1.5: 0.00020251976696735902, 2.0: 0.0008079078838320465, 2.5: 0.001291260829930773, 3.0: 0.005274413113769362, 3.5: 0.005134576146218255, 4.0: 0.014002181360339604, 4.5: 0.006053491021746795, 5.0: 0.009839138804395974}"
Item-Based KNN,30,5,3,706,sample,100,"{'neighbours': 100, 'threshold': 2.0, 'pred': 'calc'}",3493.659945,4.948526835,0.728696993,0.845235246,0.133944557,0.279485777,0.005211952,,0.100188857,0.100188857,0.041343248,"{0.5: 4.850541776557984e-05, 1.0: 0.0003761381157194112, 1.5: 0.00037448274865854085, 2.0: 0.0010737516594975392, 2.5: 0.0013201395683064866, 3.0: 0.005596332464952771, 3.5: 0.006273380626624035, 4.0: 0.016083810031302354, 4.5: 0.007801246220398201, 5.0: 0.010108889068478689}"
User-Based CF,30,5,3,706,sample,10,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",932.8730645,1.32134995,0.700314951,0.790746667,0.02905922,0.789039435,0.025113036,,0.101746931,0.101699717,0.047343406,"{0.5: 0.00018853624435112232, 1.0: 0.0004357743386057923, 1.5: 0.00033906618480785344, 2.0: 0.0009640207440092415, 2.5: 0.0007925983124507567, 3.0: 0.004359936931964289, 3.5: 0.0038959423170363116, 4.0: 0.012597332313688932, 4.5: 0.006165145022118337, 5.0: 0.008998389911524485}"
User-Based CF,30,5,3,706,sample,20,"{'neighbours': 100, 'threshold': 2.0, 'predict': 'calc'}",931.2680143,1.319076508,0.633971483,0.713130792,0.056509375,0.734166633,0.017460151,,0.10585458,0.10585458,0.047693579,"{0.5: 0.00018886986212287855, 1.0: 0.0002907227394096824, 1.5: 0.00026284122371113207, 2.0: 0.000858447603132442, 2.5: 0.0007418672774463427, 3.0: 0.003507834256312747, 3.5: 0.004128077173724458, 4.0: 0.013047486453142942, 4.5: 0.00692655384381042, 5.0: 0.009820094690712943}"
