name,playcount,listeners,mbid,url,streamable,tags
Simon & Garfunkel,67927850,2491387,5d02f264-e225-41ff-83f7-d9b1f0b1874a,https://www.last.fm/music/Simon+&+Garfunkel,0,"folk, classic rock, singer-songwriter"
The Clash,88611538,2488181,8f92558c-2baa-4758-8c38-615519e9deda,https://www.last.fm/music/The+Clash,0,"punk, punk rock, british"
Alicia Keys,54481155,2484087,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,https://www.last.fm/music/Alicia+Keys,0,"soul, rnb, female vocalists"
Modest Mouse,129708733,2478378,a96ac800-bfcb-412a-8a63-0a98df600700,https://www.last.fm/music/Modest+Mouse,0,"indie, indie rock, alternative"
Evanescence,107922804,2474723,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,https://www.last.fm/music/Evanescence,0,"rock, Gothic Rock, female vocalists"
Slipknot,140458532,2464580,ceb7b6be-1dbb-4d80-b157-5588bc884764,https://www.last.fm/music/Slipknot,0,"Nu Metal, metal, heavy metal"
Disturbed,112804961,2463005,dc75517c-d268-486d-bd5b-0eaff34eeef9,https://www.last.fm/music/Disturbed,0,"metal, Nu Metal, hard rock"
Dr. Dre,42582150,2461794,5f6ab597-f57a-40da-be9e-adad48708203,https://www.last.fm/music/Dr.+Dre,0,"Hip-Hop, rap, Gangsta Rap"
Pixies,109342251,2460746,b6b2bb8d-54a9-491f-9607-7b546023b433,https://www.last.fm/music/Pixies,0,"alternative, indie, rock"
The Smiths,173893175,2460546,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,https://www.last.fm/music/The+Smiths,0,"indie, 80s, post-punk"
OneRepublic,68532519,2446544,c33c2065-b1c3-4406-b066-d33a9e2ea71a,https://www.last.fm/music/OneRepublic,0,"rock, pop rock, alternative"
The Police,49010656,2437328,9e0e2b01-41db-4008-bd8b-988977d6019a,https://www.last.fm/music/The+Police,0,"rock, classic rock, 80s"
Calvin Harris,82648453,2430207,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,https://www.last.fm/music/Calvin+Harris,0,"electronic, dance, electro"
The Shins,90762899,2425530,6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,https://www.last.fm/music/The+Shins,0,"indie, indie rock, indie pop"
Panic! at the Disco,127568033,2417530,b9472588-93f3-4922-a1a2-74082cdf9ce8,https://www.last.fm/music/Panic%21+at+the+Disco,0,"rock, alternative, emo"
The Cranberries,62102499,2406225,c98d40fd-f6cf-4b26-883e-eaa515ee2851,https://www.last.fm/music/The+Cranberries,0,"rock, alternative, female vocalists"
Limp Bizkit,77271156,2386578,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,https://www.last.fm/music/Limp+Bizkit,0,"Nu Metal, rapcore, rock"
Jason Mraz,64463556,2379741,82eb8936-7bf6-4577-8320-a2639465206d,https://www.last.fm/music/Jason+Mraz,0,"singer-songwriter, acoustic, pop"
Nelly Furtado,45450208,2376360,13655113-cd16-4b43-9dca-cadbbf26ee05,https://www.last.fm/music/Nelly+Furtado,0,"pop, female vocalists, Canadian"
Beastie Boys,78753232,2365185,9beb62b2-88db-4cea-801e-162cd344ee53,https://www.last.fm/music/Beastie+Boys,0,"Hip-Hop, rap, alternative"
Interpol,127158747,2359617,c44ff8d1-8c81-45c8-abd6-5feefb07b764,https://www.last.fm/music/Interpol,0,"indie, indie rock, post-punk"
Fleetwood Mac,80841935,2358874,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,https://www.last.fm/music/Fleetwood+Mac,0,"classic rock, rock, 70s"
Wiz Khalifa,48035890,2341376,f5dfa020-ad69-41cd-b3d4-fd7af0414e94,https://www.last.fm/music/Wiz+Khalifa,0,"Hip-Hop, rap, underground hip-hop"
Sum 41,92866662,2338841,f2eef649-a6d5-4114-afba-e50ab26254d2,https://www.last.fm/music/Sum+41,0,"punk rock, punk, pop punk"
Three Days Grace,88051604,2337407,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,https://www.last.fm/music/Three+Days+Grace,0,"alternative rock, rock, alternative"
Vampire Weekend,110565368,2327548,af37c51c-0790-4a29-b995-456f98a6b8c9,https://www.last.fm/music/Vampire+Weekend,0,"indie, indie rock, indie pop"
Marilyn Manson,128971034,2326323,80cadd99-f560-41e3-babd-16292bbd248a,https://www.last.fm/music/Marilyn+Manson,0,"industrial, industrial metal, metal"
2Pac,61526886,2321400,382f1005-e9ab-4684-afd4-0bdae4ee37f2,https://www.last.fm/music/2Pac,0,"rap, Hip-Hop, Gangsta Rap"
Sia,90133262,2321036,2f548675-008d-4332-876c-108b0c7ab9c5,https://www.last.fm/music/Sia,0,"female vocalists, chillout, indie"
Stevie Wonder,46238072,2315847,c1aa2ec9-53e7-4d90-8d36-bac75832e986,https://www.last.fm/music/Stevie+Wonder,0,"soul, funk, motown"
John Lennon,40305518,2314359,4d5447d7-c61c-4120-ba1b-d7f471d385b9,https://www.last.fm/music/John+Lennon,0,"classic rock, rock, singer-songwriter"
The Prodigy,103717935,2300591,4a4ee089-93b1-4470-af9a-6ff575d32704,https://www.last.fm/music/The+Prodigy,0,"electronic, techno, industrial"
Björk,123045219,2298495,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,https://www.last.fm/music/Bj%C3%B6rk,0,"electronic, alternative, experimental"
Bruce Springsteen,85765453,2293244,70248960-cb53-4ea4-943a-edb18f7d336f,https://www.last.fm/music/Bruce+Springsteen,0,"rock, classic rock, singer-songwriter"
Gwen Stefani,34043781,2291850,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,https://www.last.fm/music/Gwen+Stefani,0,"pop, female vocalists, dance"
Miley Cyrus,83928512,2290272,7e9bd05a-117f-4cce-87bc-e011527a8b18,https://www.last.fm/music/Miley+Cyrus,0,"pop, female vocalists, Disney"
The Black Keys,138118138,2289958,d15721d8-56b4-453d-b506-fc915b14cba2,https://www.last.fm/music/The+Black+Keys,0,"blues rock, blues, rock"
Lily Allen,72604842,2282240,6e0c7c0e-cba5-4c2c-a652-38f71ef5785d,https://www.last.fm/music/Lily+Allen,0,"pop, female vocalists, british"
Nine Inch Nails,189370192,2276685,b7ffd2af-418f-4be2-bdd1-22f8b48613da,https://www.last.fm/music/Nine+Inch+Nails,0,"industrial, industrial rock, rock"
Flo Rida,34321862,2272583,4593d49a-7f67-46ba-9ec0-126bd676286f,https://www.last.fm/music/Flo+Rida,0,"Hip-Hop, rap, hip hop"
Dire Straits,60457711,2258248,614e3804-7d34-41ba-857f-811bad7c2b7a,https://www.last.fm/music/Dire+Straits,0,"classic rock, rock, 80s"
Nicki Minaj,85190107,2254618,1036b808-f58c-4a3e-b461-a2c4492ecf1b,https://www.last.fm/music/Nicki+Minaj,0,"Hip-Hop, rap, rnb"
Jennifer Lopez,37818276,2225111,f0602f55-1770-483d-89bd-4bae0d0ac086,https://www.last.fm/music/Jennifer+Lopez,0,"pop, latin, rnb"
